                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.70494,                0.84401,                 1.1329,                0.91978,                 0.8795,                 0.9488,                0.76563,                0.85923,                0.55124,                  1.275,              0.0093367,              0.0093367,              0.0093367
                     69,                0.68588,                0.78946,                 1.1039,                0.86975,                0.84865,                0.92489,                0.73825,                0.88675,                 0.6694,                 1.2606,              0.0093268,              0.0093268,              0.0093268
                     70,                 0.6888,                0.79624,                  1.107,                0.87856,                0.83137,                0.93778,                0.74571,                0.93382,                 0.7187,                 1.3133,              0.0093169,              0.0093169,              0.0093169
                     71,                0.70009,                0.78677,                 1.1215,                0.90131,                0.88997,                0.94902,                 0.7593,                0.84349,                0.59405,                 1.2489,               0.009307,               0.009307,               0.009307
                     72,                0.67965,                0.77165,                 1.1101,                0.88398,                0.88025,                0.94364,                0.76393,                0.84958,                0.62086,                  1.245,              0.0092971,              0.0092971,              0.0092971
                     73,                0.68047,                0.79807,                 1.1106,                 0.9097,                0.89964,                0.95958,                0.78277,                0.86651,                0.52967,                 1.2599,              0.0092872,              0.0092872,              0.0092872
                     74,                0.69659,                0.77508,                 1.1175,                0.89022,                0.89984,                0.96366,                0.76319,                0.88737,                0.57274,                  1.271,              0.0092773,              0.0092773,              0.0092773
                     75,                0.69455,                0.78312,                 1.1178,                0.92957,                0.84057,                0.93989,                0.76759,                0.85023,                0.58202,                 1.2601,              0.0092674,              0.0092674,              0.0092674
                     76,                0.68903,                0.79614,                 1.1158,                0.81601,                0.91601,                0.94549,                 0.7615,                0.86999,                0.58987,                  1.273,              0.0092575,              0.0092575,              0.0092575
                     77,                0.68555,                0.78365,                 1.1108,                0.87802,                0.82442,                0.94163,                0.76161,                0.86813,                0.61136,                 1.2585,              0.0092476,              0.0092476,              0.0092476
                     78,                0.67999,                0.77431,                 1.1067,                0.91015,                0.86746,                0.93722,                0.72993,                0.93094,                0.60417,                 1.3422,              0.0092377,              0.0092377,              0.0092377
                     79,                0.66861,                0.76325,                  1.108,                0.87315,                0.87299,                0.95378,                0.76215,                0.88549,                0.63178,                 1.2947,              0.0092278,              0.0092278,              0.0092278
                     80,                0.68686,                0.77511,                 1.1132,                0.90016,                0.89271,                0.95193,                0.77057,                0.87708,                0.59393,                 1.2767,              0.0092179,              0.0092179,              0.0092179
                     81,                0.67857,                0.75865,                 1.1001,                0.88408,                 0.8674,                0.93535,                0.76734,                0.84451,                0.59478,                 1.2376,               0.009208,               0.009208,               0.009208
                     82,                0.67322,                0.74954,                 1.1063,                0.89385,                0.91392,                0.95673,                0.75951,                0.90952,                0.56042,                 1.3098,              0.0091981,              0.0091981,              0.0091981
                     83,                 0.6737,                0.76401,                  1.106,                0.93662,                0.87503,                0.95032,                0.77571,                0.86404,                0.55728,                  1.258,              0.0091882,              0.0091882,              0.0091882
                     84,                0.67283,                0.75733,                 1.1038,                0.91244,                0.89167,                 0.9599,                0.74683,                0.97711,                0.55929,                 1.3616,              0.0091783,              0.0091783,              0.0091783
                     85,                0.67747,                0.74976,                 1.1108,                 0.9435,                0.92897,                0.97127,                0.80398,                0.79926,                0.45491,                  1.206,              0.0091684,              0.0091684,              0.0091684
                     86,                0.64687,                0.70935,                 1.0807,                0.91115,                0.88101,                0.95706,                0.75849,                0.92579,                0.56389,                  1.311,              0.0091585,              0.0091585,              0.0091585
